Sensor,Break,Interval,Time,Start,End,Comments
Hog-Line 1,0.2095,4.9552,1672872755.3951,1672872755.395146,1672872755.604603,
T-Line 2,0.3577,6.1948,1672872750.4399,1672872750.4398968,1672872750.7975624,
Hog-Line 2,0.2000,12.1127,1672872744.2451,1672872744.2450826,1672872744.4451098,
Hog-Line 1,0.1153,2.8273,1672872732.1324,1672872732.1324306,1672872732.247721,
T-Line 1,0.1098,46.5875,1672872729.3051,1672872729.305144,1672872729.414966,
Hog-Line 2,0.1798,48.5818,1672872682.7176,1672872682.717629,1672872682.8973908,
T-Line 2,29.3030,5.7397,1672872634.1358,1672872634.1358452,1672872663.4388607,
Hog-Line 2,0.1903,11.4424,1672872628.3962,1672872628.3961685,1672872628.5864573,
Hog-Line 1,0.1084,2.6473,1672872616.9538,1672872616.9537997,1672872617.0622213,
T-Line 1,0.1081,136.6928,1672872614.3065,1672872614.3064952,1672872614.4146037,
T-Line 1,2.4302,5.3356,1672872477.6137,1672872477.6137218,1672872480.0439548,
T-Line 1,5.3293,0.1763,1672872472.2781,1672872472.2780738,1672872477.6074083,
T-Line 1,0.1585,7.6093,1672872472.1018,1672872472.1017978,1672872472.2602718,
T-Line 1,7.5977,3.6354,1672872464.4925,1672872464.4924984,1672872472.0901814,
T-Line 1,0.6631,0.0289,1672872460.8571,1672872460.8571312,1672872461.5202088,
T-Line 1,0.0227,0.0301,1672872460.8283,1672872460.8282557,1672872460.8509824,
T-Line 1,0.0199,0.9307,1672872460.7982,1672872460.7982004,1672872460.8180811,
T-Line 1,0.9177,23.2839,1672872459.8675,1672872459.8675048,1672872460.7852154,
Hog-Line 1,0.0744,0.0273,1672872436.5836,1672872436.5835588,1672872436.657915,
Hog-Line 1,0.0069,0.9714,1672872436.5563,1672872436.556295,1672872436.5631685,
Hog-Line 1,0.9686,35.9972,1672872435.5849,1672872435.5848758,1672872436.553495,
Hog-Line 2,0.3662,19.6089,1672872399.5877,1672872399.5877173,1672872399.9539402,
T-Line 2,1.6439,8.3374,1672872379.9788,1672872379.978838,1672872381.6227715,
T-Line 2,8.3311,23.0795,1672872371.6415,1672872371.6414552,1672872379.9726028,
T-Line 2,23.0212,0.8814,1672872348.5619,1672872348.5619078,1672872371.5831454,
T-Line 2,0.7859,0.6807,1672872347.6805,1672872347.6805058,1672872348.4663568,
T-Line 2,0.6482,6.1872,1672872346.9998,1672872346.999818,1672872347.6480207,
Hog-Line 2,58.7490,12.9753,1672872340.8126,1672872340.812641,1672872399.5616906,
Hog-Line 2,12.8196,0.6932,1672872327.8373,1672872327.8373237,1672872340.6569295,
Hog-Line 2,0.5015,19.7865,1672872327.1441,1672872327.1441078,1672872327.6455858,
T-Line 2,0.0686,0.0412,1672872307.3576,1672872307.3576255,1672872307.4261987,
T-Line 2,0.0135,0.0334,1672872307.3164,1672872307.3164034,1672872307.3299446,
T-Line 2,0.0094,0.1385,1672872307.2830,1672872307.283001,1672872307.2923796,
T-Line 2,0.1303,5.3994,1672872307.1445,1672872307.1444914,1672872307.2747545,
T-Line 2,0.1713,2.1712,1672872301.7451,1672872301.745123,1672872301.916419,
T-Line 2,0.0430,2.2156,1672872299.5740,1672872299.5739725,1672872299.616976,
T-Line 2,0.0900,0.5689,1672872297.3584,1672872297.3584058,1672872297.4484065,
Hog-Line 1,138.6967,1.2450,1672872296.7895,1672872296.7894654,1672872435.4861298,
Hog-Line 1,0.6128,0.3998,1672872295.5445,1672872295.544494,1672872296.1573145,
Hog-Line 2,31.9299,2.4700,1672872295.1447,1672872295.1447413,1672872327.0745986,
Hog-Line 1,2.5059,1.4195,1672872292.6747,1672872292.6747367,1672872295.1806357,
T-Line 2,0.0906,0.0662,1672872291.2552,1672872291.2551959,1672872291.3457787,
T-Line 2,0.0215,9.9888,1672872291.1890,1672872291.1890063,1672872291.2105296,
Hog-Line 1,0.7396,0.0405,1672872281.2002,1672872281.2001579,1672872281.9397802,
Hog-Line 1,0.0370,0.5858,1672872281.1597,1672872281.1596565,1672872281.1966987,
Hog-Line 1,0.5456,0.0881,1672872280.5739,1672872280.573895,1672872281.1195207,
Hog-Line 1,0.0741,0.0453,1672872280.4858,1672872280.4857576,1672872280.5598671,
Hog-Line 1,0.0038,0.1964,1672872280.4405,1672872280.4404619,1672872280.4442632,
Hog-Line 1,0.0060,1.7004,1672872280.2440,1672872280.2440398,1672872280.2500858,
T-Line 1,181.2352,0.3702,1672872278.5436,1672872278.5436478,1672872459.7788305,
T-Line 1,0.2983,5.5183,1672872278.1734,1672872278.1733983,1672872278.4716551,
T-Line 1,5.3428,3.2311,1672872272.6551,1672872272.655116,1672872277.9979506,
T-Line 1,3.1923,3.6313,1672872269.4240,1672872269.424017,1672872272.6163197,
T-Line 1,1.3869,4.7586,1672872265.7927,1672872265.7926683,1672872267.1795719,
T-Line 1,4.4039,3.4046,1672872261.0340,1672872261.0340185,1672872265.4379222,
T-Line 1,0.2736,2.3043,1672872257.6295,1672872257.6294587,1672872257.9030385,
T-Line 1,2.3028,0.0000,1672872255.3252,1672872255.3252034,1672872257.627982,
T-Line 1,0.7577,0.0078,1672872255.3252,1672872255.3252034,1672872256.0829294,
T-Line 1,0.0033,809.7381,1672872255.3174,1672872255.3173733,1672872255.3206313,
T-Line 1,-0.0001,0.0016,1672871445.5793,1672871445.5792801,1672871446.0821304,
T-Line 1,0.5028,1.0069,1672871445.5777,1672871445.5776734,1672871446.0804598,
T-Line 1,-0.0000,0.0016,1672871444.5707,1672871444.5707302,1672871445.072865,
T-Line 1,0.5020,0.4682,1672871444.5692,1672871444.5691595,1672871445.0711982,
Hog-Line 1,0.5028,0.5396,1672871444.1009,1672871444.1009414,1672871444.6037827,
